,County,State,Rank,Population,latitude,longitude
698,Allen County,IN,185,"360,412",41.10515675,-85.05241692
699,Bartholomew County,IN,694,"79,129",39.19021513,-85.82540263
700,Benton County,IN,2532,"8,804",40.57943125,-87.30632838
701,Blackford County,IN,2272,"12,502",40.4942835,-85.311033
702,Boone County,IN,876,"58,944",40.02054517,-86.4832555
703,Brown County,IN,2102,"15,083",39.20714033,-86.24133367
704,Carroll County,IN,1835,"20,095",40.56241513,-86.53921275
705,Cass County,IN,1208,"38,581",40.7742133,-86.2982982
706,Clark County,IN,537,"111,951",38.49392554,-85.66553138
707,Clay County,IN,1535,"26,837",39.44189264,-87.09711182
708,Clinton County,IN,1353,"33,022",40.31003813,-86.50876725
709,Crawford County,IN,2382,"10,665",38.295334,-86.45681763
710,Daviess County,IN,1389,"32,064",38.77645625,-87.07110325
711,Dearborn County,IN,982,"49,831",41.39693038,-85.01250525
712,Decatur County,IN,1560,"26,042",39.14223333,-84.96088167
713,DeKalb County,IN,1124,"42,321",39.31388517,-85.4481505
714,Delaware County,IN,517,"117,364",40.1944755,-85.38858288
715,Dubois County,IN,1128,"42,071",38.3420666,-86.883461
716,Elkhart County,IN,317,"199,619",41.604144,-85.85474463
717,Fayette County,IN,1642,"24,029",39.63330233,-85.20432567
718,Floyd County,IN,728,"75,283",38.32572,-85.9144468
719,Fountain County,IN,1969,"17,119",40.107991,-87.20867413
720,Franklin County,IN,1691,"22,969",39.41024114,-85.02761757
721,Fulton County,IN,1794,"20,737",41.0237692,-86.234166
722,Gibson County,IN,1339,"33,458",38.3138658,-87.5360048
723,Grant County,IN,766,"69,330",40.4969136,-85.6302326
724,Greene County,IN,1357,"32,940",39.05911871,-86.96151
725,Hamilton County,IN,227,"289,495",40.08632,-86.067929
726,Hancock County,IN,753,"70,933",39.84337263,-85.76939688
727,Harrison County,IN,1194,"39,134",38.20759454,-86.10820815
728,Hendricks County,IN,421,"150,434",39.75435292,-86.52342742
729,Henry County,IN,993,"49,345",39.91865313,-85.4105326
730,Howard County,IN,673,"82,849",40.4485905,-86.128867
731,Huntington County,IN,1246,"36,987",40.836832,-85.46559367
732,Jackson County,IN,1106,"43,083",38.895933,-86.08242178
733,Jasper County,IN,1340,"33,456",41.068494,-87.11571867
734,Jay County,IN,1763,"21,366",40.43393317,-85.037502
735,Jefferson County,IN,1371,"32,554",38.816803,-85.4394346
736,Jennings County,IN,1486,"28,161",38.97925743,-85.636529
737,Johnson County,IN,440,"143,191",39.46945038,-86.07930738
738,Knox County,IN,1215,"38,122",38.73832683,-87.36024225
739,Kosciusko County,IN,704,"77,609",41.23317593,-85.88243707
740,LaGrange County,IN,1231,"37,521",41.51311555,-86.72839309
741,Lake County,IN,136,"493,618",41.62387863,-85.37322875
742,LaPorte County,IN,541,"111,246",41.45934695,-87.41282995
743,Lawrence County,IN,1048,"46,078",38.8488505,-86.54824167
744,Madison County,IN,479,"130,348",40.1541273,-85.7355552
745,Marion County,IN,55,"918,977",39.697634,-86.20340825
746,Marshall County,IN,1025,"47,024",41.33319856,-86.27402044
747,Martin County,IN,2421,"10,260",38.77884867,-86.86719033
748,Miami County,IN,1262,"36,486",40.7631471,-86.0572339
749,Monroe County,IN,445,"141,019",39.171434,-86.5575945
750,Montgomery County,IN,1211,"38,254",40.05583664,-86.92578845
751,Morgan County,IN,765,"69,356",39.50268617,-86.49692217
752,Newton County,IN,2173,"14,044",40.99926656,-87.38584456
753,Noble County,IN,1018,"47,582",41.38461127,-85.43208073
754,Ohio County,IN,2754,"6,079",38.958134,-84.984085
755,Orange County,IN,1849,"19,690",38.55186875,-86.52228275
756,Owen County,IN,1762,"21,380",39.35565925,-86.74251425
757,Parke County,IN,1974,"17,069",39.72639225,-87.28359175
758,Perry County,IN,1859,"19,462",38.05482638,-86.63383875
759,Pike County,IN,2254,"12,766",38.36880917,-87.18752017
760,Porter County,IN,379,"165,682",41.45313888,-87.09822813
761,Posey County,IN,1581,"25,599",38.10793217,-87.82755517
762,Pulaski County,IN,2234,"13,124",41.0440968,-86.6880346
763,Putnam County,IN,1227,"37,750",39.702308,-86.84525638
764,Randolph County,IN,1573,"25,815",40.13879856,-85.05525656
765,Ripley County,IN,1464,"28,583",39.12230682,-85.23624982
766,Rush County,IN,1972,"17,095",39.6424825,-85.48524463
767,St. Joseph County,IN,250,"266,344",38.705128,-85.71886133
768,Scott County,IN,1655,"23,791",39.56274013,-85.7881975
769,Shelby County,IN,1076,"44,471",38.04916933,-86.97837213
770,Spencer County,IN,1785,"20,837",41.6086282,-86.2810985
771,Starke County,IN,1681,"23,213",41.27792,-86.65014533
772,Steuben County,IN,1325,"34,124",41.6374235,-85.02146483
773,Sullivan County,IN,1775,"21,188",39.08988927,-87.42233409
774,Switzerland County,IN,2402,"10,424",38.841555,-84.9787804
775,Tippecanoe County,IN,355,"177,513",40.3834439,-86.8626639
776,Tipton County,IN,2064,"15,695",40.31598583,-86.06020433
777,Union County,IN,2649,"7,362",39.607982,-84.927749
778,Vanderburgh County,IN,349,"180,858",37.98691,-87.5699025
779,Vermillion County,IN,2044,"16,040",39.83981225,-87.45084238
780,Vigo County,IN,546,"108,428",39.453495,-87.3662492
781,Wabash County,IN,1381,"32,361",40.8552738,-85.7812484
782,Warren County,IN,2577,"8,342",40.304125,-87.40616975
783,Warrick County,IN,856,"60,463",38.099966,-87.27269114
784,Washington County,IN,1498,"27,921",38.550758,-86.13657767
785,Wayne County,IN,778,"68,346",39.85622508,-85.03658069
786,Wells County,IN,1506,"27,652",40.72188625,-85.20949575
787,White County,IN,1629,"24,426",40.76366122,-86.835978
788,Whitley County,IN,1345,"33,342",41.15462825,-85.49826675
888,Allen County,KS,2223,"13,319",37.86780243,-95.28518229
889,Anderson County,KS,2605,"7,917",38.21071483,-95.28579767
890,Atchison County,KS,1994,"16,813",39.50276983,-95.29848617
891,Barber County,KS,2847,"4,861",37.23692138,-98.62404413
892,Barton County,KS,1511,"27,557",38.47398986,-98.808558
893,Bourbon County,KS,2117,"14,897",37.8742535,-94.86141467
894,Brown County,KS,2452,"9,881",39.78274171,-95.58623314
895,Butler County,KS,802,"65,827",37.7844026,-96.90944353
896,Chase County,KS,2992,"2,757",38.3408818,-96.6308918
897,Chautauqua County,KS,2940,"3,571",37.0752544,-96.1862716
898,Cherokee County,KS,1773,"21,226",37.18568933,-94.814239
899,Cheyenne County,KS,3000,"2,678",39.715407,-101.721025
900,Clark County,KS,3038,"2,181",37.28389267,-99.86753567
901,Clay County,KS,2561,"8,531",39.3065044,-97.133983
902,Cloud County,KS,2480,"9,397",39.484186,-97.6231995
903,Coffey County,KS,2563,"8,502",38.2081556,-95.7264204
904,Comanche County,KS,3066,"1,913",37.21558433,-99.35941033
905,Cowley County,KS,1269,"36,288",37.29839833,-96.864114
906,Crawford County,KS,1188,"39,361",37.49993254,-94.77192062
907,Decatur County,KS,2987,"2,871",39.78044175,-100.368006
908,Dickinson County,KS,1847,"19,762",38.89224425,-97.123144
909,Doniphan County,KS,2608,"7,864",39.78898943,-95.13151971
910,Douglas County,KS,532,"112,864",38.903184,-95.26289875
911,Edwards County,KS,2981,"2,979",37.922406,-99.34875025
912,Elk County,KS,2999,"2,720",37.3884564,-96.2885102
913,Ellis County,KS,1449,"29,053",38.85325986,-99.232592
914,Ellsworth County,KS,2725,"6,494",38.6785626,-98.2619372
915,Finney County,KS,1242,"37,200",38.00163133,-100.792822
916,Ford County,KS,1306,"34,752",37.7025584,-99.840656
917,Franklin County,KS,1567,"25,906",38.53858725,-95.26926575
918,Geary County,KS,1221,"38,013",39.08935267,-96.831736
919,Gove County,KS,2998,"2,729",39.056674,-100.4107118
920,Graham County,KS,3002,"2,578",39.3566785,-99.89434625
921,Grant County,KS,2603,"7,923",37.562467,-101.308565
922,Gray County,KS,2758,"6,030",37.710999,-100.399182
923,Greeley County,KS,3096,"1,298",38.469704,-101.747853
924,Greenwood County,KS,2728,"6,454",37.84124614,-96.146192
925,Hamilton County,KS,3001,"2,639",37.9930645,-101.76885
926,Harper County,KS,2770,"5,911",37.18649357,-98.01830514
927,Harvey County,KS,1304,"34,852",38.05080857,-97.41155614
928,Haskell County,KS,2887,"4,256",37.4616295,-100.9236285
929,Hodgeman County,KS,3058,"1,963",38.0727145,-99.8016065
930,Jackson County,KS,2216,"13,449",39.43949056,-95.75055278
931,Jefferson County,KS,1877,"18,945",39.22568044,-95.39383056
932,Jewell County,KS,2974,"3,046",39.77454714,-98.15407514
933,Johnson County,KS,111,"559,913",38.87386589,-94.85727311
934,Kearny County,KS,2909,"3,968",37.951749,-101.2279895
935,Kingman County,KS,2609,"7,863",37.52273,-98.159514
936,Kiowa County,KS,3008,"2,496",37.604411,-99.26175567
937,Labette County,KS,1769,"21,284",37.15348675,-95.31524488
938,Lane County,KS,3074,"1,704",38.5265895,-100.5327185
939,Leavenworth County,KS,703,"77,739",39.207898,-94.99777486
940,Lincoln County,KS,2963,"3,174",39.07660375,-98.2260725
941,Linn County,KS,2477,"9,441",38.22712843,-94.80963843
942,Logan County,KS,2990,"2,784",38.97130533,-101.0427363
943,Lyon County,KS,1333,"33,748",38.48712413,-96.1385875
944,McPherson County,KS,1438,"29,356",38.37265167,-97.090118
945,Marion County,KS,2283,"12,347",39.82946027,-96.53991464
946,Marshall County,KS,2442,"10,022",38.38037667,-97.61516733
947,Meade County,KS,2874,"4,396",37.25341333,-100.3209567
948,Miami County,KS,1368,"32,612",38.57927817,-94.81373533
949,Mitchell County,KS,2735,"6,355",39.40096733,-98.24088333
950,Montgomery County,KS,1313,"34,459",37.1432522,-95.7828621
951,Morris County,KS,2777,"5,854",38.7107052,-96.6742974
952,Morton County,KS,2964,"3,169",37.092142,-101.766804
953,Nemaha County,KS,2431,"10,132",39.775468,-95.96177533
954,Neosho County,KS,2018,"16,406",37.56042367,-95.31685467
955,Ness County,KS,2973,"3,068",38.5317116,-99.9235704
956,Norton County,KS,2796,"5,612",39.7785125,-99.8772575
957,Osage County,KS,2035,"16,142",38.67216833,-95.65919944
958,Osborne County,KS,2920,"3,806",39.4050292,-98.797956
959,Ottawa County,KS,2755,"6,072",39.11644225,-97.67671825
960,Pawnee County,KS,2691,"6,928",38.15179875,-99.2836575
961,Phillips County,KS,2804,"5,519",39.7351745,-99.345414
962,Pottawatomie County,KS,1719,"22,302",39.36309075,-96.32227917
963,Pratt County,KS,2457,"9,728",37.6639304,-98.7967438
964,Rawlins County,KS,3003,"2,560",39.82618125,-101.0681318
965,Reno County,KS,817,"64,438",37.96169677,-98.03469923
966,Republic County,KS,2848,"4,858",39.82312922,-97.57366667
967,Rice County,KS,2445,"9,985",38.3336275,-98.24660575
968,Riley County,KS,724,"75,508",39.298448,-96.7503196
969,Rooks County,KS,2824,"5,223",39.325479,-99.335225
970,Rush County,KS,2959,"3,220",38.54160763,-99.31889225
971,Russell County,KS,2690,"6,946",38.960743,-98.7972655
972,Saline County,KS,903,"55,988",38.76729317,-97.64769
973,Scott County,KS,2842,"4,937",38.482307,-100.906427
974,Sedgwick County,KS,129,"503,889",37.69369172,-97.44773283
975,Seward County,KS,1661,"23,547",37.12373,-100.787605
976,Shawnee County,KS,352,"178,991",39.00185063,-95.78791088
977,Sheridan County,KS,3007,"2,538",39.448069,-100.5041175
978,Sherman County,KS,2751,"6,113",39.36329967,-101.753472
979,Smith County,KS,2925,"3,765",39.76311567,-98.7628485
980,Stafford County,KS,2878,"4,358",38.03683425,-98.78993275
981,Stanton County,KS,3039,"2,175",37.54964,-101.806292
982,Stevens County,KS,2787,"5,756",37.2842345,-101.243794
983,Sumner County,KS,1657,"23,674",37.2687135,-97.50638067
984,Thomas County,KS,2602,"7,941",39.4048238,-101.0335938
985,Trego County,KS,2980,"2,986",38.967576,-99.880507
986,Wabaunsee County,KS,2679,"7,039",38.95146286,-96.19131614
987,Wallace County,KS,3082,"1,517",38.9052315,-101.7558215
988,Washington County,KS,2786,"5,758",39.77024173,-97.08130009
989,Wichita County,KS,3031,"2,256",38.480788,-101.288491
990,Wilson County,KS,2510,"9,105",37.573111,-95.73825986
991,Woodson County,KS,2956,"3,278",37.90297525,-95.70097775
992,Wyandotte County,KS,396,"159,129",39.08158167,-94.70586433
993,Adair County,KY,1889,"18,675",37.08427963,-85.33527375
994,Allen County,KY,1831,"20,210",36.73099025,-86.14662375
995,Anderson County,KY,1742,"21,728",38.006484,-84.979923
996,Ballard County,KY,2579,"8,333",37.07140267,-88.93260233
997,Barren County,KY,1119,"42,631",36.9372635,-85.91937488
998,Bath County,KY,2310,"11,802",38.130183,-83.7497204
999,Bell County,KY,1485,"28,183",36.7173105,-83.702144
1000,Boone County,KY,496,"123,316",38.96153414,-84.73933771
1001,Bourbon County,KY,1841,"19,978",38.21999333,-84.15746667
1002,Boyd County,KY,997,"49,164",38.36373233,-82.68713767
1003,Boyle County,KY,1461,"28,658",37.6059286,-84.9093046
1004,Bracken County,KY,2564,"8,494",38.690613,-84.061536
1005,Breathitt County,KY,2205,"13,635",37.51195267,-83.31158722
1006,Breckinridge County,KY,1837,"20,071",37.7632681,-86.3840757
1007,Bullitt County,KY,721,"75,896",37.9791102,-85.6769966
1008,Butler County,KY,2250,"12,840",37.22332,-86.70875822
1009,Caldwell County,KY,2247,"12,935",37.1708895,-87.926819
1010,Calloway County,KY,1228,"37,655",36.63919443,-88.25519957
1011,Campbell County,KY,633,"90,908",39.02043875,-84.40494563
1012,Carlisle County,KY,2835,"5,034",36.84246667,-89.00404167
1013,Carroll County,KY,2367,"10,900",38.66926425,-85.04988175
1014,Carter County,KY,1517,"27,348",38.29116356,-83.08289322
1015,Casey County,KY,2041,"16,082",37.258536,-84.89102167
1016,Christian County,KY,726,"75,427",36.82137411,-87.50923078
1017,Clark County,KY,1282,"35,787",37.966709,-84.159245
1018,Clay County,KY,1751,"21,556",37.149394,-83.7581435
1019,Clinton County,KY,2417,"10,285",36.748735,-85.1586605
1020,Crittenden County,KY,2495,"9,280",37.31285,-88.149208
1021,Cumberland County,KY,2698,"6,819",36.8282394,-85.4460132
1022,Daviess County,KY,599,"97,847",37.72332633,-87.08214167
1023,Edmonson County,KY,2294,"12,071",37.23051529,-86.26286229
1024,Elliott County,KY,2618,"7,780",38.131568,-83.079708
1025,Estill County,KY,2140,"14,493",37.709292,-83.96152767
1026,Fayette County,KY,211,"305,489",38.016674,-84.486043
1027,Fleming County,KY,2136,"14,560",38.341213,-83.67842033
1028,Floyd County,KY,1197,"38,949",37.49810018,-82.73122764
1029,Franklin County,KY,984,"49,804",38.228115,-84.869708
1030,Fulton County,KY,2720,"6,525",36.547805,-89.144572
1031,Gallatin County,KY,2566,"8,479",38.74213267,-84.859701
1032,Garrard County,KY,1989,"16,913",37.64273533,-84.518918
1033,Grant County,KY,1621,"24,485",38.65348933,-84.63200917
1034,Graves County,KY,1230,"37,544",36.75189392,-88.6670345
1035,Grayson County,KY,1565,"25,964",37.46913383,-86.34566983
1036,Green County,KY,2338,"11,315",37.3153435,-85.5666885
1037,Greenup County,KY,1255,"36,707",38.58096857,-82.83541171
1038,Hancock County,KY,2552,"8,677",37.827685,-86.80275125
1039,Hardin County,KY,556,"107,025",37.67853823,-86.00322415
1040,Harlan County,KY,1466,"28,543",36.86412365,-83.22605346
1041,Harrison County,KY,1892,"18,624",38.399515,-84.335117
1042,Hart County,KY,1904,"18,366",37.2696775,-85.86758333
1043,Henderson County,KY,1040,"46,513",37.79486757,-87.59365286
1044,Henry County,KY,2087,"15,318",38.45870491,-85.142894
1045,Hickman County,KY,2856,"4,754",36.7067435,-89.040687
1046,Hopkins County,KY,1035,"46,718",37.2768324,-87.5293528
1047,Jackson County,KY,2222,"13,331",37.40696186,-83.99011571
1048,Jefferson County,KY,78,"750,828",38.24233463,-85.63519488
1049,Jessamine County,KY,988,"49,635",37.89227267,-84.63591433
1050,Johnson County,KY,1669,"23,383",37.8364617,-82.812871
1051,Kenton County,KY,388,"161,711",38.97419583,-84.54136717
1052,Knott County,KY,2037,"16,124",37.33237,-82.92964967
1053,Knox County,KY,1396,"31,735",36.8732146,-83.859691
1054,Larue County,KY,2165,"14,151",37.4944595,-85.67420175
1055,Laurel County,KY,870,"59,462",37.12445867,-84.10812017
1056,Lawrence County,KY,2053,"15,848",38.122912,-82.74426233
1057,Lee County,KY,2626,"7,706",37.59794333,-83.68926783
1058,Leslie County,KY,2349,"11,170",37.09108894,-83.40071711
1059,Letcher County,KY,1646,"23,952",37.14102654,-82.82339492
1060,Lewis County,KY,2185,"13,835",38.531584,-83.32240067
1061,Lincoln County,KY,1626,"24,461",37.43061117,-84.66411
1062,Livingston County,KY,2479,"9,423",37.17850986,-88.35072157
1063,Logan County,KY,1541,"26,646",36.83149683,-86.85030717
1064,Lyon County,KY,2574,"8,351",37.059111,-88.084921
1065,McCracken County,KY,806,"65,549",37.69168633,-84.22566333
1066,McCreary County,KY,1917,"18,069",37.6945922,-83.016586
1067,McLean County,KY,2472,"9,506",37.58214988,-85.30877125
1068,Madison County,KY,664,"84,786",36.91463425,-88.31245575
1069,Magoffin County,KY,2238,"13,041",37.8154896,-82.5707686
1070,Marion County,KY,1836,"20,090",38.6363162,-83.8580048
1071,Marshall County,KY,1406,"31,344",37.057252,-88.7617765
1072,Martin County,KY,2257,"12,743",36.749504,-84.4850605
1073,Mason County,KY,1951,"17,512",37.52118817,-87.25301783
1074,Meade County,KY,1444,"29,237",37.97238771,-86.23939614
1075,Menifee County,KY,2743,"6,220",37.95940825,-83.606243
1076,Mercer County,KY,1771,"21,261",37.80815767,-84.831561
1077,Metcalfe County,KY,2446,"9,969",36.9977334,-85.6643894
1078,Monroe County,KY,2372,"10,821",36.7077212,-85.758247
1079,Montgomery County,KY,1533,"26,902",38.01075433,-83.85541567
1080,Morgan County,KY,2200,"13,668",37.957875,-83.16912675
1081,Muhlenberg County,KY,1408,"31,181",37.22289929,-87.09869486
1082,Nelson County,KY,1080,"44,319",37.79359344,-85.43806089
1083,Nicholas County,KY,2683,"7,000",38.318959,-83.9405965
1084,Ohio County,KY,1641,"24,075",37.45411182,-86.82076182
1085,Oldham County,KY,847,"61,412",38.39628333,-85.46408967
1086,Owen County,KY,2377,"10,765",38.547668,-84.91087233
1087,Owsley County,KY,2857,"4,722",37.42742233,-83.679146
1088,Pendleton County,KY,2132,"14,604",38.713202,-84.39896333
1089,Perry County,KY,1482,"28,241",37.26705132,-83.21130776
1090,Pike County,KY,819,"64,178",37.47176298,-82.35154637
1091,Powell County,KY,2274,"12,483",37.82863267,-83.77952967
1092,Pulaski County,KY,824,"63,593",37.06246522,-84.62039111
1093,Robertson County,KY,3037,"2,188",38.531698,-84.035565
1094,Rockcastle County,KY,1981,"17,006",37.35215175,-84.3199705
1095,Rowan County,KY,1665,"23,447",38.1725264,-83.416412
1096,Russell County,KY,1952,"17,497",36.9821765,-85.097139
1097,Scott County,KY,999,"49,057",38.30988833,-84.60121233
1098,Shelby County,KY,1096,"43,614",38.1996508,-85.2132682
1099,Simpson County,KY,1946,"17,538",36.740598,-86.583305
1100,Spencer County,KY,1958,"17,416",38.0262265,-85.2736215
1101,Taylor County,KY,1617,"24,691",37.34610067,-85.25832333
1102,Todd County,KY,2264,"12,651",36.84600314,-87.16558557
1103,Trigg County,KY,2142,"14,447",36.8777225,-87.7734775
1104,Trimble County,KY,2535,"8,787",38.6452065,-85.3541015
1105,Union County,KY,2119,"14,850",37.6317246,-87.9293902
1106,Warren County,KY,520,"117,110",36.95925371,-86.39533586
1107,Washington County,KY,2308,"11,833",37.77718,-85.1498825
1108,Wayne County,KY,1787,"20,824",36.8338815,-84.8218725
1109,Webster County,KY,2209,"13,583",37.51753513,-87.72913963
1110,Whitley County,KY,1288,"35,499",36.77011267,-84.10131917
1111,Wolfe County,KY,2662,"7,164",37.751153,-83.5316354
1112,Woodford County,KY,1606,"25,077",38.0722985,-84.727847
1113,Acadia Parish,LA,841,"61,912",30.2471799,-92.428736
1114,Allen Parish,LA,1584,"25,539",30.66358613,-92.88511038
1115,Ascension Parish,LA,533,"112,286",30.2129611,-90.9165649
1116,Assumption Parish,LA,1689,"23,026",29.96644183,-91.06709483
1117,Avoyelles Parish,LA,1138,"41,632",31.0601705,-92.01079221
1118,Beauregard Parish,LA,1270,"36,281",30.65565043,-93.216286
1119,Bienville Parish,LA,2170,"14,076",32.3511365,-93.0566595
1120,Bossier Parish,LA,501,"122,197",32.58112686,-93.58249071
1121,Caddo Parish,LA,257,"257,093",32.68272823,-93.91532692
1122,Calcasieu Parish,LA,326,"194,493",30.23443978,-93.27072411
1123,Caldwell Parish,LA,2443,"10,004",32.0473845,-92.158722
1124,Cameron Parish,LA,2708,"6,702",29.815113,-93.1959625
1125,Catahoula Parish,LA,2416,"10,292",31.7596702,-91.8243526
1126,Claiborne Parish,LA,1992,"16,828",32.811797,-92.949056
1127,Concordia Parish,LA,1822,"20,365",31.50506267,-91.65228167
1128,De Soto Parish,LA,1531,"26,963",32.08627011,-93.80150278
1129,East Baton Rouge Parish,LA,150,"444,526",30.565379,-91.0665602
1130,East Carroll Parish,LA,2638,"7,526",32.783861,-91.2413985
1131,East Feliciana Parish,LA,1840,"20,008",30.85175633,-91.0799845
1132,Evangeline Parish,LA,1334,"33,710",30.74400888,-92.39739663
1133,Franklin Parish,LA,1809,"20,561",32.0850785,-91.68814917
1134,Grant Parish,LA,1727,"22,068",31.58258829,-92.56001914
1135,Iberia Parish,LA,737,"73,999",29.9785498,-91.7863032
1136,Iberville Parish,LA,1347,"33,228",30.29555089,-91.27787778
1137,Jackson Parish,LA,2030,"16,216",32.300065,-92.572684
1138,Jefferson Parish,LA,156,"433,676",29.8217742,-90.1176624
1139,Jefferson Davis Parish,LA,1404,"31,432",30.30033786,-92.79845757
1140,Lafayette Parish,LA,283,"227,055",31.7672858,-92.2220318
1141,Lafourche Parish,LA,602,"97,029",30.19026543,-92.06219343
1142,LaSalle Parish,LA,2113,"14,927",29.5801027,-90.4445924
1143,Lincoln Parish,LA,1028,"46,953",32.5847266,-92.6791102
1144,Livingston Parish,LA,474,"131,942",30.46089678,-90.76753678
1145,Madison Parish,LA,2290,"12,154",32.387097,-91.1404965
1146,Morehouse Parish,LA,1510,"27,559",32.78514983,-91.734585
1147,Natchitoches Parish,LA,1184,"39,436",31.71697487,-93.088497
1148,Orleans Parish,LA,179,"369,250",29.958304,-90.077
1149,Ouachita Parish,LA,405,"155,363",32.5288695,-92.16440575
1150,Plaquemines Parish,LA,1647,"23,921",29.46768091,-89.62454
1151,Pointe Coupee Parish,LA,1699,"22,726",30.680887,-91.54551347
1152,Rapides Parish,LA,472,"132,373",31.21946526,-92.55438821
1153,Red River Parish,LA,2523,"8,983",32.0427435,-93.316384
1154,Richland Parish,LA,1782,"20,921",32.4272414,-91.7411
1155,Sabine Parish,LA,1632,"24,325",31.60177789,-93.566048
1156,St. Bernard Parish,LA,1137,"41,635",29.9110662,-89.9071996
1157,St. Charles Parish,LA,945,"52,681",29.94217727,-90.38182291
1158,St. Helena Parish,LA,2353,"11,071",30.6666435,-90.727153
1159,St. James Parish,LA,1743,"21,722",30.0314095,-90.78226513
1160,St. John the Baptist Parish,LA,1073,"44,758",30.58492793,-92.00206964
1161,St. Landry Parish,LA,669,"83,662",30.22215075,-91.8435865
1162,St. Martin Parish,LA,943,"52,726",29.75334367,-91.40601233
1163,St. Mary Parish,LA,928,"53,697",30.47448433,-89.96532317
1164,St. Tammany Parish,LA,271,"239,453",30.0426102,-90.593011
1165,Tangipahoa Parish,LA,495,"123,441",30.65047871,-90.4397925
1166,Tensas Parish,LA,2840,"4,954",31.921022,-91.28975067
1167,Terrebonne Parish,LA,538,"111,893",29.55375,-90.7584447
1168,Union Parish,LA,1714,"22,419",32.83713533,-92.46286167
1169,Vermilion Parish,LA,878,"58,723",29.95792214,-92.20822057
1170,Vernon Parish,LA,927,"53,869",31.10460045,-93.22010673
1171,Washington Parish,LA,1036,"46,670",30.86652475,-90.02288875
1172,Webster Parish,LA,1154,"40,940",32.7236704,-93.3625948
1173,West Baton Rouge Parish,LA,1638,"24,106",30.4792178,-91.3159586
1174,West Carroll Parish,LA,2327,"11,512",32.7891932,-91.4578252
1175,West Feliciana Parish,LA,2078,"15,405",30.9331698,-91.4580362
1176,Winn Parish,LA,2107,"15,000",31.92409571,-92.68089586
1217,Barnstable County,MA,290,"215,423",41.76099458,-70.22997267
1218,Berkshire County,MA,480,"130,016",42.32705894,-73.2226373
1219,Bristol County,MA,112,"551,082",41.82383473,-71.11709543
1220,Dukes County,MA,1977,"17,041",41.40520029,-70.65680143
1221,Essex County,MA,77,"755,618",42.65305897,-70.93576928
1222,Franklin County,MA,751,"71,540",42.58053452,-72.62282052
1223,Hampden County,MA,144,"465,923",42.13956859,-72.56404219
1224,Hampshire County,MA,395,"159,795",42.36343325,-72.72981838
1225,Middlesex County,MA,23,"1,537,215",42.42062961,-71.17342816
1226,"Nantucket, Town and County of",MA,2415,"10,298",41.280798,-70.0510975
1227,Norfolk County,MA,90,"681,845",42.17740697,-71.20180872
1228,Plymouth County,MA,133,"499,759",41.98489086,-70.79388886
1229,Suffolk County,MA,80,"744,426",42.33419075,-71.08193283
1230,Worcester County,MA,73,"806,163",42.30811875,-71.90576739
1193,Allegany County,MD,736,"74,012",39.604271,-78.82415567
1194,Anne Arundel County,MD,113,"550,488",39.0032263,-76.60912536
1195,Baltimore County,MD,69,"817,455",39.42857547,-76.62398719
1196,Calvert County,MD,638,"89,628",39.296536,-76.623489
1197,Caroline County,MD,1363,"32,718",38.50739443,-76.52788907
1198,Carroll County,MD,375,"167,217",38.91253982,-75.85424955
1199,Cecil County,MD,575,"101,696",39.53204017,-77.02416558
1200,Charles County,MD,420,"150,592",39.53825594,-75.95594938
1201,Dorchester County,MD,1372,"32,551",38.469272,-76.96575671
1202,Frederick County,MD,270,"239,582",38.44510725,-76.05705163
1203,Garrett County,MD,1428,"29,854",39.45431532,-77.41198588
1204,Harford County,MD,265,"248,622",39.54715067,-79.22676644
1205,Howard County,MD,218,"299,430",39.54338615,-76.3124503
1206,Kent County,MD,1832,"20,191",39.218701,-76.9271325
1207,Montgomery County,MD,40,"1,004,709",39.28733033,-75.99822989
1208,Prince George's County,MD,58,"881,138",39.1270201,-77.162619
1209,Queen Anne's County,MD,1004,"48,595",38.86520504,-76.88309358
1210,St. Mary's County,MD,544,"108,987",39.06227008,-76.05599592
1211,Somerset County,MD,1550,"26,253",38.25852341,-76.57727493
1212,Talbot County,MD,1216,"38,098",38.0695113,-75.8445223
1213,Washington County,MD,422,"149,180",38.7732676,-76.1864184
1214,Wicomico County,MD,584,"100,647",39.57341879,-77.744196
1215,Worcester County,MD,962,"51,578",38.39194545,-75.61866209
1216,"Baltimore, City of",MD,104,"621,342",38.25830055,-75.33073773
1177,Androscoggin County,ME,551,"107,609",44.13220883,-70.22899006
1178,Aroostook County,ME,754,"70,868",46.7359917,-68.11680596
1179,Cumberland County,ME,231,"283,921",43.83388751,-70.34405846
1180,Franklin County,ME,1417,"30,630",44.71323357,-70.22618471
1181,Hancock County,ME,916,"54,558",44.39444172,-68.45550632
1182,Kennebec County,ME,504,"121,853",44.37922757,-69.79164357
1183,Knox County,ME,1177,"39,668",44.09795005,-69.1234005
1184,Lincoln County,ME,1324,"34,180",43.97866735,-69.55426781
1185,Oxford County,ME,887,"57,481",44.34070613,-70.6603277
1186,Penobscot County,ME,411,"153,746",45.01198549,-68.85003565
1187,Piscataquis County,ME,1963,"17,290",45.33856271,-69.18095614
1188,Sagadahoc County,ME,1297,"35,191",43.92459,-69.8476642
1189,Somerset County,ME,956,"51,910",44.86175155,-69.65334391
1190,Waldo County,ME,1201,"38,820",44.48091118,-69.12036441
1191,Washington County,ME,1378,"32,462",44.99653736,-67.45504014
