County,State,Rank,Population,latitude,longitude,distance_100000,distance_300000,distance_500000,distance_1000000
Geneva County,AL,1532,26931.0,31.11804978,-85.79162644,51.8020396764,156.138089082,292.377783987,487.418337678
Greene County,AL,2529,8876.0,32.7550295,-87.9154365,63.8272175745,134.940380433,134.940380433,683.738397572
Hale County,AL,2081,15388.0,32.72238667,-87.64093867,57.4046955781,120.570879879,120.570879879,695.042958016
Henry County,AL,1964,17287.0,31.4573675,-85.25104575,32.1670728919,217.322354086,264.314348087,482.886898622
Houston County,AL,566,103402.0,31.16724713,-85.25142988,0.0,207.253150108,295.45670188,457.395128812
Jackson County,AL,938,53019.0,34.77580894,-85.9862775,51.1082769843,51.1082769843,154.300197839,569.353005031
Jefferson County,AL,93,660009.0,33.59211407,-86.86547122,0.0,0.0,0.0,634.225137191
Lamar County,AL,2156,14259.0,33.79728267,-88.081859,80.8060869049,115.048460404,115.048460404,568.948146489
Lauderdale County,AL,625,92542.0,34.90056057,-87.54953286,78.6435886497,93.0004931483,158.229206377,476.491782749
Lawrence County,AL,1330,33838.0,34.5829636,-87.3504684,46.4927778519,76.8074721896,118.673284252,516.14885491
Lee County,AL,428,147257.0,32.5977982,-85.3471552,0.0,150.850280283,150.850280283,579.628552873
Limestone County,AL,648,87654.0,34.815304,-86.97633967,38.8676337749,39.7871868471,136.067842805,511.658252309
Lowndes County,AL,2370,10857.0,32.13299625,-86.59071125,38.1248132491,163.849671693,163.849671693,621.374425535
Macon County,AL,1812,20535.0,32.374418,-85.7630255,45.3089367422,169.868879472,169.868879472,588.280900498
Madison County,AL,192,343080.0,34.77314217,-86.54459783,0.0,0.0,134.304077266,538.0088935
Marengo County,AL,1821,20401.0,32.2831121,-87.7932086,108.011733501,169.120679355,169.120679355,714.027131704
Marion County,AL,1422,30327.0,34.10567567,-87.82450533,97.9453337926,105.463183418,105.463183418,545.258311765
Marshall County,AL,612,94776.0,34.34149638,-86.312964,36.4765597165,52.3904543937,97.5538392148,589.320122316
Mobile County,AL,165,413936.0,30.67849016,-88.18566842,0.0,0.0,346.260214544,644.640533173
Monroe County,AL,1706,22602.0,31.54556767,-87.365542,94.0011311139,94.0011311139,231.761674802,630.549540117
Montgomery County,AL,279,230149.0,32.189773,-86.1920843,0.0,167.800309958,167.800309958,601.641187257
Morgan County,AL,506,120395.0,34.478371,-86.86006878,0.0,43.6599583097,98.3075709478,548.898098457
Perry County,AL,2426,10181.0,32.548815,-87.375108,77.1941142496,125.111545475,125.111545475,705.644000052
Pickens County,AL,1860,19405.0,33.3013615,-88.065863,50.2207170974,116.176221246,116.176221246,621.694795281
Pike County,AL,1349,33182.0,31.7914115,-85.94809625,49.828678018,180.411930198,217.435163544,552.884094417
Randolph County,AL,1701,22675.0,33.33003683,-85.43252217,46.5493606289,99.0630219661,99.0630219661,648.007380272
Russell County,AL,883,57820.0,32.26827063,-85.16517225,36.9566487616,176.215205313,176.215205313,540.88180484
St. Clair County,AL,661,85237.0,33.67666783,-86.32701567,43.3249081857,50.8298051203,50.8298051203,650.424283279
Shelby County,AL,313,200941.0,33.26011474,-86.67015047,0.0,41.0594976277,41.0594976277,675.279898055
Sumter County,AL,2218,13427.0,32.60788825,-88.19834775,93.064229816,165.513409269,165.513409269,692.260059979
Talladega County,AL,678,81762.0,33.35186225,-86.21142075,43.9162865722,66.378793405,66.378793405,695.776152495
Tallapoosa County,AL,1148,41168.0,32.8761575,-85.76263917,49.6941982753,129.887153928,129.887153928,628.527938062
Tuscaloosa County,AL,321,198596.0,33.23196757,-87.5332135,0.0,73.8464349544,73.8464349544,645.301474881
Walker County,AL,795,66221.0,33.78523813,-87.28071813,44.0594578629,44.0594578629,44.0594578629,598.016320998
Washington County,AL,1970,17109.0,31.391596,-88.18371386,79.0623171454,79.0623171454,273.669751704,683.893555659
Wilcox County,AL,2333,11431.0,32.01485638,-87.30717015,107.022549658,146.08472158,179.744260997,660.011127049
Winston County,AL,1637,24108.0,34.13798275,-87.40222588,62.5798858882,78.3116451473,78.3116451473,557.862531129
Arkansas County,AR,1880,18892.0,34.317439,-91.300762,101.482786696,101.482786696,162.821422939,488.90844864
Ashley County,AR,1752,21524.0,33.21785514,-91.68829671,88.4522200301,177.191473316,274.479688849,469.125453085
Baxter County,AR,1153,41048.0,36.3495548,-92.3905477,100.326369113,100.326369113,265.015756745,319.251264043
Benton County,AR,278,232268.0,36.36254541,-94.28728388,0.0,152.553469388,152.553469388,440.992321381
Boone County,AR,1238,37327.0,36.3114745,-93.05043563,111.171391572,116.201695835,262.247658459,360.824689675
Bradley County,AR,2336,11397.0,33.47459975,-92.19609625,104.927538835,140.199436836,285.998245408,425.591764908
Calhoun County,AR,2818,5307.0,33.60984667,-92.537448,108.833216428,127.143581536,297.402296492,397.232383946
Carroll County,AR,1508,27610.0,36.391863,-93.5954778,62.1624443368,138.097111961,214.424151032,390.22368302
Chicot County,AR,2332,11433.0,33.30875675,-91.31364425,117.530522559,181.931887388,246.060442689,544.535351682
Clark County,AR,1692,22936.0,34.01909686,-93.17615243,81.4627308121,114.342249911,246.769488238,353.907091446
Clay County,AR,2066,15684.0,36.37415573,-90.44106836,144.724325364,144.724325364,144.724325364,251.499624823
Cleburne County,AR,1575,25808.0,35.5684027,-92.0130976,50.9518926405,95.5302679341,201.898301594,376.484667594
Cleveland County,AR,2554,8627.0,33.88371867,-92.20752433,86.8521522553,94.8471988879,259.012662466,434.147495528
Columbia County,AR,1625,24473.0,33.23180833,-93.24574183,78.7391423277,189.105358818,231.599963054,324.953633468
Conway County,AR,1768,21287.0,35.271394,-92.67666689,32.9337682952,69.3627092483,257.873965634,433.558413112
Craighead County,AR,590,99735.0,35.83956245,-90.59616309,101.255234825,101.255234825,101.255234825,311.919605953
Crawford County,AR,840,61946.0,35.5810266,-94.2622873,45.2370047587,164.248126282,164.248126282,382.550790417
Crittenden County,AR,977,50021.0,35.239998,-90.28636911,40.8866834692,40.8866834692,40.8866834692,376.470431231
Cross County,AR,1935,17683.0,35.31985029,-90.77193343,82.150577322,85.9403016295,85.9403016295,371.121280316
Dallas County,AR,2600,7987.0,33.98148325,-92.65709325,67.4580109454,90.527958626,289.205672957,397.486719321
Desha County,AR,2271,12545.0,33.7584005,-91.33901517,139.057325899,139.057325899,207.500692995,550.465605068
Drew County,AR,1886,18743.0,33.639211,-91.72390125,129.82938316,132.185116061,241.527064037,471.904099707
Faulkner County,AR,512,118704.0,35.18902289,-92.32909067,0.0,50.3835825921,226.082814599,426.823670554
Franklin County,AR,1919,18045.0,35.4099605,-93.8641295,48.0558054131,162.38562528,204.885088982,390.83854634
Fulton County,AR,2287,12318.0,36.4112946,-91.7628524,112.816700657,112.816700657,221.749508992,282.822877174
Garland County,AR,604,96903.0,34.56722057,-93.08703871,43.1370823976,76.0282165576,277.100574927,387.862298954
Grant County,AR,1921,17986.0,34.2590778,-92.49303,38.3195075924,56.3459293305,262.275549959,422.294097885
Greene County,AR,1104,43163.0,36.131094,-90.60767943,127.600977171,127.600977171,127.600977171,279.93393927
Hempstead County,AR,1716,22373.0,33.79259414,-93.69986286,124.555242231,167.268978776,193.563185706,299.625404268
Hot Spring County,AR,1343,33394.0,34.30872583,-93.0208525,48.3514013775,82.6800713126,270.692028937,379.948153286
Howard County,AR,2195,13735.0,34.0264886,-93.9783848,129.119603949,174.649672157,177.136228022,287.012872437
Independence County,AR,1245,37025.0,35.71740207,-91.5626746,90.9806665049,127.078540841,167.456544479,345.536497463
Izard County,AR,2214,13474.0,36.104774,-91.99505643,106.012479123,134.258917536,220.824045373,322.688748158
Jackson County,AR,1943,17600.0,35.59296722,-91.17113156,114.349895269,129.407431317,129.407431317,348.250482889
Jefferson County,AR,732,74723.0,34.32336842,-91.90992342,57.2287264517,57.2287264517,210.583291018,475.026808192
Johnson County,AR,1568,25901.0,35.48345571,-93.48858814,81.6907778567,137.624123224,233.938036148,420.374587791
Lafayette County,AR,2647,7447.0,33.2973258,-93.54167,76.5872342251,197.453655861,203.585290653,298.872479199
Lawrence County,AR,1979,17012.0,36.04369629,-91.13686807,143.730605115,152.32842395,152.32842395,299.148222338
Lee County,AR,2424,10216.0,34.79731483,-90.80914517,73.2864192123,96.7351197694,96.7351197694,429.03952379
Lincoln County,AR,2168,14101.0,34.02652025,-91.6850655,96.0695098906,96.0695098906,210.498168621,484.902780703
Little River County,AR,2248,12919.0,33.73388717,-94.2092805,104.06449813,146.199144391,146.199144391,253.547157443
Logan County,AR,1732,21983.0,35.25342867,-93.66002022,58.8154670046,138.14664695,228.944253861,391.418828231
Lonoke County,AR,761,69839.0,34.77814267,-91.89366267,35.9793029745,35.9793029745,191.681922204,453.808984536
Madison County,AR,2070,15645.0,36.0308235,-93.7415015,46.6719367148,176.485000919,199.808737513,426.835900907
Marion County,AR,2006,16568.0,36.30647971,-92.66716729,106.202188319,106.202188319,284.894412865,338.374752149
Miller County,AR,1095,43634.0,33.3627435,-93.91033175,73.4801543334,169.003056999,169.003056999,266.73965757
Mississippi County,AR,1057,45562.0,35.71387081,-90.0714135,64.4298302562,64.4298302562,64.4298302562,323.979221255
Monroe County,AR,2612,7828.0,34.724257,-91.2125385,98.0828483641,98.0828483641,133.868640307,443.070111955
Montgomery County,AR,2487,9340.0,34.57050086,-93.66107114,87.4792469204,127.628894462,231.992124677,343.415877016
Nevada County,AR,2526,8925.0,33.74636067,-93.33751267,114.61494159,146.599455545,225.470056478,329.521090073
Newton County,AR,2595,8086.0,35.99256975,-93.111606,103.24935643,150.788824683,256.74912433,390.78090977
Ouachita County,AR,1593,25396.0,33.570667,-92.896381,115.820866647,141.128458853,263.865478665,363.768525245
Perry County,AR,2410,10339.0,35.0077626,-92.7649504,44.5392304969,53.3362193418,266.614386825,438.54952724
Phillips County,AR,1790,20784.0,34.44049877,-90.84976892,92.2952994511,121.80490496,121.80490496,468.779232567
Pike County,AR,2340,11247.0,34.13436833,-93.66579333,108.800264847,143.541007261,208.368687562,318.119408803
Poinsett County,AR,1633,24307.0,35.56964022,-90.62866822,84.1357204463,84.1357204463,84.1357204463,342.009488397
Polk County,AR,1817,20471.0,34.424573,-94.276157,81.65304361,177.143732601,177.143732601,288.367952667
Pope County,AR,832,62765.0,35.4491795,-93.0298265,69.9517451284,104.333070625,274.823962397,434.055955874
Prairie County,AR,2568,8458.0,34.752735,-91.522003,69.7425217055,69.7425217055,159.578603364,446.520588824
Pulaski County,AR,172,388953.0,34.73643307,-92.28337171,0.0,0.0,227.485505245,461.651957221
Randolph County,AR,1924,17930.0,36.34941614,-90.97098186,166.309420869,166.309420869,166.309420869,262.472663748
St. Francis County,AR,1500,27858.0,35.0187631,-90.8162842,73.6925288095,89.7913028698,89.7913028698,404.764562775
Saline County,AR,539,111845.0,34.5887268,-92.6176214,0.0,34.7442388825,261.152957475,426.916292712
Scott County,AR,2357,11010.0,34.95137967,-94.13745767,27.3281051723,171.242638753,209.661597555,336.860530931
Searcy County,AR,2599,8007.0,35.89225225,-92.643414,83.0670955865,132.347448916,266.187577783,373.722319766
Sebastian County,AR,484,127304.0,35.16042463,-94.29591788,0.0,184.126724799,184.126724799,344.070046046
Sevier County,AR,1966,17177.0,33.9851618,-94.2420232,130.468934663,153.063579718,153.063579718,263.482069708
Sharp County,AR,1975,17054.0,36.13966013,-91.51642488,128.604621193,150.19446993,185.985660326,300.380214797
Stone County,AR,2263,12663.0,35.8698925,-92.0830505,78.7695305806,127.065811977,217.440306645,349.368334372
Union County,AR,1157,40867.0,33.22157638,-92.58869225,86.4772090782,170.382878697,292.743863989,385.597149818
Van Buren County,AR,1978,17030.0,35.5540928,-92.3963824,40.9625614307,91.296481546,235.703083145,393.715010531
Washington County,AR,297,211411.0,35.98870606,-94.25659975,0.0,153.883284291,153.883284291,420.118620515
White County,AR,700,78493.0,35.24824376,-91.74251953,53.8067493246,75.2473714854,172.832386518,400.033700802
Woodruff County,AR,2674,7100.0,35.1819816,-91.2682666,96.6243285485,105.065518432,129.458970647,394.631033667
Yell County,AR,1733,21932.0,35.077577,-93.291211,82.0820815831,99.5793025961,267.689297647,404.041317403
Apache County,AZ,743,73195.0,35.071127,-109.4070921,84.5992247477,267.37154945,267.37154945,293.451391669
Cochise County,AZ,473,132088.0,31.73853145,-109.9551656,0.0,109.409144991,109.409144991,258.130296412
Coconino County,AZ,457,136011.0,35.925651,-111.6826806,0.0,280.556622562,280.556622562,280.556622562
Gila County,AZ,936,53144.0,33.5897562,-110.9124606,85.1606030094,85.1606030094,92.1486994323,92.1486994323
Graham County,AZ,1236,37416.0,32.91265075,-109.7953495,131.067697523,143.855201209,143.855201209,201.745893214
Greenlee County,AZ,2534,8802.0,33.007195,-109.2674218,154.858951107,190.891713222,190.891713222,247.333129819
La Paz County,AZ,1826,20281.0,33.83333,-114.0643338,131.907273388,208.41526529,208.41526529,208.41526529
Maricopa County,AZ,4,3942169.0,33.40179375,-111.8783783,0.0,0.0,0.0,0.0
Mohave County,AZ,309,203334.0,35.33255724,-114.1223505,0.0,217.009239273,217.009239273,217.009239273
Navajo County,AZ,555,107094.0,34.687809,-110.2070674,0.0,210.145862889,210.145862889,210.145862889
Pima County,AZ,42,992394.0,32.13058378,-111.0169477,0.0,0.0,0.0,162.446847667
Pinal County,AZ,173,387365.0,32.92378072,-111.3673493,0.0,0.0,71.2947792507,71.2947792507
Santa Cruz County,AZ,1022,47303.0,31.58256075,-110.8790085,62.1535646815,62.1535646815,62.1535646815,222.533743177
Yavapai County,AZ,296,212637.0,34.61734218,-112.2862716,0.0,139.997057974,139.997057974,139.997057974
Yuma County,AZ,316,200022.0,32.65789488,-114.2800719,0.0,234.834038253,234.834038253,234.834038253
Alameda County,CA,21,1554720.0,37.70346269,-122.0788253,0.0,0.0,0.0,0.0
Alpine County,CA,3104,1129.0,38.673376,-120.058845,53.0385954184,76.7701398403,116.106999245,116.106999245
Amador County,CA,1244,37035.0,38.45098808,-120.7240863,36.7008238219,56.6025807242,56.6025807242,56.6025807242
Butte County,CA,285,221539.0,39.61583418,-121.5621635,0.0,91.0279344977,126.058146251,126.058146251
Calaveras County,CA,1074,44742.0,38.20969157,-120.5618666,61.9602805776,61.9602805776,61.9602805776,77.2606947154
Colusa County,CA,1761,21411.0,39.19264638,-122.1746394,57.2815040577,103.668073739,104.650248988,104.650248988
Contra Costa County,CA,38,1079597.0,37.93047938,-122.0324622,0.0,0.0,0.0,0.0
Del Norte County,CA,1479,28290.0,41.8170204,-124.0454134,125.739121782,252.640727449,423.348398887,433.982340121
El Dorado County,CA,351,180561.0,38.77702822,-120.6542365,0.0,32.4135864688,70.0450317369,70.0450317369
Fresno County,CA,49,947895.0,36.70545138,-119.73669,0.0,0.0,0.0,185.436567239
Glenn County,CA,1495,27992.0,39.59722329,-122.1966626,54.53107941,134.766932327,142.182170608,142.182170608
Humboldt County,CA,465,134827.0,40.60173618,-123.9447292,0.0,252.915795114,322.321536767,322.321536767
Imperial County,CA,356,176948.0,33.00531207,-115.3972269,0.0,126.812185208,126.812185208,126.812185208
Inyo County,CA,1896,18495.0,36.57097333,-117.701317,131.347980324,131.347980324,142.493669112,269.803606167
Kern County,CA,61,856158.0,35.42105422,-118.4048908,0.0,0.0,0.0,170.25887129
Kings County,CA,417,151364.0,36.15295043,-119.8385534,0.0,61.9860672525,61.9860672525,204.802121973
Lake County,CA,820,63983.0,39.03912743,-122.7740609,65.0065813689,65.0065813689,136.337412973,136.337412973
Lassen County,CA,1335,33658.0,40.52599043,-120.562801,131.559190005,155.38737348,225.691989616,225.691989616
Los Angeles County,CA,1,9962789.0,33.90057097,-118.1520172,0.0,0.0,0.0,0.0
Madera County,CA,413,152218.0,37.2049301,-119.7664256,0.0,55.4937822066,55.4937822066,173.915919823
Marin County,CA,258,256069.0,38.01100712,-122.6625898,0.0,25.751637839,25.751637839,56.0843525055
Mariposa County,CA,1925,17905.0,37.57163363,-119.9617976,44.2234608069,84.853885042,84.853885042,160.30032466
Mendocino County,CA,651,87428.0,39.32674289,-123.4890966,107.479355839,107.479355839,183.574536853,200.274285882
Merced County,CA,254,262305.0,37.28680056,-120.6422684,0.0,41.895951415,41.895951415,96.5955537493
Modoc County,CA,2490,9327.0,41.42193525,-120.639806,144.611534326,247.840303991,293.285628436,293.285628436
Mono County,CA,2145,14348.0,38.02781643,-119.1236427,107.526030498,150.972453174,156.48576965,176.438029838
Monterey County,CA,161,426762.0,36.41434652,-121.4708963,0.0,0.0,90.0843896749,90.0843896749
Napa County,CA,450,139045.0,38.51790422,-122.4151359,0.0,44.7331885701,73.3105286806,73.3105286806
Nevada County,CA,597,98292.0,39.28586464,-120.7488268,27.2962536227,27.2962536227,103.5082435,103.5082435
Orange County,CA,6,3090132.0,33.61004983,-117.7197254,0.0,0.0,0.0,0.0
Placer County,CA,184,361682.0,39.04399446,-120.8055712,0.0,0.0,78.6919432601,78.6919432601
Plumas County,CA,1861,19399.0,39.9564715,-120.8372124,72.7095237002,101.344355513,169.179801143,169.179801143
Riverside County,CA,11,2268783.0,33.7277179,-116.4534331,0.0,0.0,0.0,0.0
Sacramento County,CA,25,1450121.0,38.49019209,-121.3707725,0.0,0.0,0.0,0.0
San Benito County,CA,894,56884.0,36.75204175,-121.3146318,39.9984521374,39.9984521374,61.7115396333,61.7115396333
San Bernardino County,CA,12,2081313.0,34.45183904,-116.2422784,0.0,0.0,0.0,0.0
San Diego County,CA,5,3177063.0,32.8514448,-117.1028545,0.0,0.0,0.0,0.0
"San Francisco, City and County of",CA,67,825863.0,37.784827,-122.727802,0.0,0.0,0.0,57.9070807858
San Joaquin County,CA,87,702612.0,37.96905856,-121.1991691,0.0,0.0,0.0,59.7657264115
San Luis Obispo County,CA,241,274804.0,35.41417785,-120.6584821,0.0,98.8167723619,165.606493134,220.101464357
San Mateo County,CA,82,739311.0,37.49556763,-122.3499067,0.0,0.0,0.0,33.2485822091
Santa Barbara County,CA,157,431249.0,34.66675429,-120.0693921,0.0,0.0,104.562420342,195.932759004
Santa Clara County,CA,16,1837504.0,37.19986513,-121.7255103,0.0,0.0,0.0,0.0
Santa Cruz County,CA,249,266776.0,37.05921015,-122.0193834,0.0,30.4235523568,30.4235523568,30.4235523568
Shasta County,CA,354,178586.0,40.72713338,-122.0951697,0.0,217.002462153,256.031141642,256.031141642
Sierra County,CA,2970,3086.0,39.56006629,-120.6099824,59.7271391135,59.7271391135,135.819678233,135.819678233
Siskiyou County,CA,1083,44154.0,41.61166455,-122.6457298,94.1561214618,268.930761659,363.255289539,363.255289539
Solano County,CA,162,420757.0,38.2442405,-121.9448974,0.0,0.0,35.6640431155,35.6640431155
Sonoma County,CA,137,491829.0,38.46535038,-122.9235009,0.0,0.0,77.4617526598,98.0649153878
Stanislaus County,CA,125,521726.0,37.59126276,-120.9221389,0.0,0.0,0.0,83.3510758007
Sutter County,CA,611,95022.0,38.9990665,-121.6645333,38.8171255827,61.9950182139,61.9950182139,61.9950182139
Tehama County,CA,825,63406.0,40.13041931,-122.0785394,66.275877552,162.809761532,192.057165318,192.057165318
Trinity County,CA,2212,13526.0,40.6616611,-123.0758042,73.812857707,244.199077623,282.094426471,282.094426471
Tulare County,CA,147,451977.0,36.23461603,-119.1052265,0.0,0.0,77.024502173,257.426092944
Tuolumne County,CA,924,54008.0,37.97699013,-120.2119756,75.8047053328,75.8047053328,75.8047053328,116.353595618
Ventura County,CA,64,835981.0,34.27310517,-119.0352647,0.0,0.0,0.0,91.3907445074
Yolo County,CA,307,204118.0,38.71487544,-121.9250746,0.0,52.2717260102,54.3459243002,54.3459243002
Yuba County,CA,745,72926.0,39.315632,-121.2884122,40.814712312,51.4785623217,91.9131502355,91.9131502355
Adams County,CO,145,459598.0,39.8567119,-104.7596873,0.0,0.0,26.7848556657,617.992393413
Alamosa County,CO,2034,16148.0,37.60338067,-105.812572,92.7029956693,92.7029956693,92.7029956693,626.851057966
Arapahoe County,CO,108,595546.0,39.654855,-104.588537,0.0,0.0,0.0,636.640182666
Archuleta County,CO,2295,12070.0,37.173082,-107.145211,100.096669764,140.331473079,140.331473079,564.694642984
Baca County,CO,2926,3751.0,37.34294033,-102.5426158,125.882093682,125.882093682,125.882093682,692.765386501
Bent County,CO,2782,5773.0,37.9806615,-103.015716,51.5544525525,51.5544525525,51.5544525525,772.301999495
Boulder County,CO,213,305318.0,40.07931757,-105.3160127,0.0,0.0,78.0714959257,567.180675261
"Broomfield, City and County of",CO,879,58298.0,38.71840717,-106.1915062,76.037150445,76.037150445,76.037150445,536.998124135
Chaffee County,CO,1913,18150.0,38.82650725,-102.6535915,48.7193227489,48.7193227489,48.7193227489,821.343932523
Cheyenne County,CO,3068,1874.0,39.7293976,-105.6707984,49.2945570559,49.2945570559,93.1998156969,544.121115105
Clear Creek County,CO,2519,9026.0,37.20282129,-106.01636,140.67533347,140.67533347,140.67533347,638.382567535
Conejos County,CO,2588,8275.0,37.25221743,-105.4708121,100.319647732,100.319647732,125.471136636,673.911014112
Costilla County,CO,2937,3594.0,38.29750675,-103.78426,69.7888403345,77.6174543686,77.6174543686,748.196949821
Crowley County,CO,2814,5365.0,38.108415,-105.2848065,32.9955793723,32.9955793723,32.9955793723,637.986743653
Custer County,CO,2888,4249.0,38.8365959,-107.8409976,63.3630036907,141.216523255,141.216523255,403.586037061
Delta County,CO,1421,30432.0,39.726303,-104.856808,16.6988872999,16.6988872999,24.3406964037,612.502378701
"Denver, City and County of",CO,98,634265.0,37.70675433,-108.582805,0.0,0.0,0.0,433.820723212
Dolores County,CO,3054,1994.0,39.36721014,-104.9100649,42.243212922,42.243212922,42.243212922,617.167227007
Douglas County,CO,221,298215.0,39.65588933,-106.6570619,0.0,123.994982193,176.794595127,463.737255855
Eagle County,CO,957,51874.0,38.91987077,-104.6379715,81.7100434982,81.7100434982,81.7100434982,654.178454928
Elbert County,CO,1669,23383.0,39.27791283,-104.2462262,51.1775109579,51.1775109579,51.1775109579,675.023766948
El Paso County,CO,97,644964.0,38.38222911,-105.4315142,0.0,0.0,0.0,612.83449222
Fremont County,CO,1030,46788.0,39.50695629,-107.700387,82.5868309926,213.87487752,214.105237293,382.968205904
Garfield County,CO,891,56953.0,39.84047333,-105.523051,31.8785057648,31.8785057648,82.7032428719,554.057183467
Gilpin County,CO,2806,5491.0,40.03600688,-105.9739819,56.3447077786,56.3447077786,125.89884672,512.357643092
Grand County,CO,2163,14195.0,38.6506245,-106.8737019,113.162943948,129.25639086,129.25639086,487.115795186
Gunnison County,CO,2077,15475.0,38.026256,-107.276581,120.281756454,120.281756454,120.281756454,494.484435062
Hinsdale County,CO,3118,810.0,37.67051233,-105.195782,75.663442501,81.6646851106,81.6646851106,668.736017637
Huerfano County,CO,2715,6596.0,40.5722355,-106.3113643,100.753867319,100.753867319,178.734974465,477.971927868
Jackson County,CO,3092,1348.0,39.61718329,-105.2141369,47.1679792721,47.1679792721,53.8674664942,585.07521238
Jefferson County,CO,117,545358.0,38.43816325,-102.9142575,0.0,0.0,0.0,803.445341654
Kiowa County,CO,3085,1444.0,39.31097667,-102.66238,99.3283674655,99.3283674655,99.3283674655,806.687978241
Kit Carson County,CO,2594,8094.0,37.2046602,-107.9080286,55.8999343374,81.6679829897,81.6679829897,515.1143389
Lake County,CO,2651,7338.0,39.19825133,-106.3642143,56.7213327582,121.541592404,121.541592404,502.940501874
La Plata County,CO,949,52401.0,40.59436677,-105.356111,57.2930408633,57.2930408633,123.13864781,558.692648792
Larimer County,CO,209,310487.0,37.26808809,-104.3400759,0.0,0.0,156.60406988,756.617118387
Lincoln County,CO,2809,5453.0,39.1071558,-103.4702418,88.5990914609,88.5990914609,88.5990914609,744.687803559
Logan County,CO,1703,22631.0,40.72715138,-103.1583216,130.988956842,166.974857359,170.317307009,743.942503347
Mesa County,CO,424,147848.0,39.09186285,-108.4948922,0.0,153.944307924,153.944307924,340.366498375
Mineral County,CO,3128,709.0,37.761293,-106.981852,141.250021058,141.250021058,141.250021058,532.925121893
Moffat County,CO,2231,13200.0,40.5897628,-107.932327,150.227103986,229.424444563,303.319462309,340.741868877
Montezuma County,CO,1591,25431.0,37.43084286,-108.6031747,30.6757832248,30.6757832248,30.6757832248,456.182364861
Montrose County,CO,1161,40725.0,38.356129,-108.3915688,74.0082322282,74.0082322282,74.0082322282,395.167346286
Morgan County,CO,1470,28472.0,40.30870413,-103.8142028,71.0192610559,94.9821150446,98.2097897302,691.311653736
