City,State,Population,latitude,longitude
Des Moines,Iowa,"2,06,688",26.2708,-80.2593
,,,41.0799,-73.546
Montgomery,Alabama,"2,05,293",41.766,-72.6833
,,,37.9722,-122.0016
Modesto,California,"2,03,547",38.7657,-121.3032
,,,39.918,-104.9454
Fayetteville,North Carolina,"2,02,103",47.3853,-122.2169
,,,30.2116,-92.0314
Tacoma,Washington,"2,02,010",33.6706,-112.4527
,,,33.2151,-97.1417
Shreveport,Louisiana,"2,01,867",34.5277,-117.3536
,,,37.9877,-87.5347
Fontana,California,"2,01,812",32.0299,-102.1097
,,,37.3646,-121.9679
Oxnard,California,"2,01,555",33.9496,-83.3701
,,,40.594,-75.4782
Aurora,Illinois,"1,99,932",32.4545,-99.7381
,,,30.0843,-94.1458
Moreno Valley,California,"1,99,552",38.1079,-122.2639
,,,39.0853,-94.3513
Akron,Ohio,"1,98,549",39.7639,-89.6708
,,,42.2756,-83.7313
Yonkers,New York,"1,98,449",40.2453,-111.6448
,,,40.7523,-89.6171
Columbus,Georgia,"1,98,413",35.2406,-97.3453
,,,37.8667,-122.2991
Augusta,Georgia,"1,97,872",34.0746,-118.0291
,,,35.8522,-86.4161
Little Rock,Arkansas,"1,96,537",42.7098,-84.5562
,,,38.9479,-92.3261
Amarillo,Texas,"1,95,250",33.9382,-118.1309
,,,33.6659,-117.9123
Mobile,Alabama,"1,94,822",33.9561,-118.3443
,,,25.9489,-80.2436
Huntington Beach,California,"1,94,708",42.0396,-88.3217
,,,34.2092,-77.8858
Glendale,California,"1,94,478",41.5585,-73.0367
,,,46.8652,-96.829
Grand Rapids,Michigan,"1,90,411",39.8097,-105.1066
,,,33.1239,-117.2828
Salt Lake City,Utah,"1,89,314",39.8822,-105.0644
,,,44.0154,-92.4772
Tallahassee,Florida,"1,86,971",45.5023,-122.4416
,,,27.9795,-82.7663
Huntsville,Alabama,"1,83,739",42.6389,-71.3221
,,,40.6023,-112.001
Worcester,Massachusetts,"1,82,669",38.2731,-104.6124
,,,34.2681,-119.255
Knoxville,Tennessee,"1,82,200",38.2568,-122.0397
,,,34.0559,-117.9099
Grand Prairie,Texas,"1,81,824",45.7895,-108.5499
,,,33.5719,-117.1907
Newport News,Virginia,"1,80,726",35.9855,-79.9902
,,,30.5237,-97.6674
Brownsville,Texas,"1,80,097",37.953,-122.3594
,,,42.376,-71.1183
Santa Clarita,California,"1,79,013",33.9069,-118.0834
,,,31.8804,-102.3434
Overland Park,Kansas,"1,78,919",37.9775,-121.7976
,,,33.5019,-117.1246
Providence,Rhode Island,"1,78,432",44.5207,-87.9842
,,,48.0033,-122.1742
Jackson,Mississippi,"1,75,437",33.9067,-98.5259
,,,34.189,-118.3249
Garden Grove,California,"1,74,389",27.9856,-80.6626
,,,39.5906,-104.8691
Oceanside,California,"1,71,293",37.7009,-122.465
,,,32.9723,-96.7081
Chattanooga,Tennessee,"1,71,279",26.2426,-80.129
,,,36.0365,-95.781
Fort Lauderdale,Florida,"1,70,747",32.8853,-80.0169
,,,26.7483,-80.1266
Rancho Cucamonga,California,"1,70,746",40.0175,-105.2797
,,,34.1118,-117.3883
Santa Rosa,California,"1,70,685",34.9332,-120.4438
,,,32.8017,-116.9605
Port St. Lucie,Florida,"1,68,716",41.5541,-90.604
,,,42.1166,-80.0735
Ontario,California,"1,67,211",32.3197,-106.7653
,,,41.6769,-86.269
Tempe,Arizona,"1,66,842",43.0244,-83.692
,,,42.5822,-87.8456
Vancouver,Washington,"1,65,489",,
Springfield,Missouri,"1,62,191",,
Cape Coral,Florida,"1,61,248",,
Pembroke Pines,Florida,"1,60,306",,
Sioux Falls,South Dakota,"1,59,908",,
Peoria,Arizona,"1,59,789",,
Lancaster,California,"1,59,055",,
Elk Grove,California,"1,59,038",,
Corona,California,"1,58,391",,
Eugene,Oregon,"1,57,986",,
Salem,Oregon,"1,57,429",,
Palmdale,California,"1,55,650",,
Salinas,California,"1,54,484",,
Springfield,Massachusetts,"1,53,552",,
Pasadena,Texas,"1,52,272",,
Rockford,Illinois,"1,50,843",,
Pomona,California,"1,50,812",,
Hayward,California,"1,49,392",,
Fort Collins,Colorado,"1,48,612",,
Joliet,Illinois,"1,48,268",,
Escondido,California,"1,47,575",,
Kansas City,Kansas,"1,47,268",,
Torrance,California,"1,47,027",,
Bridgeport,Connecticut,"1,46,425",,
Alexandria,Virginia,"1,46,294",,
Sunnyvale,California,"1,46,197",,
Cary,North Carolina,"1,45,693",,
Lakewood,Colorado,"1,45,516",,
Hollywood,Florida,"1,45,236",,
Paterson,New Jersey,"1,45,219",,
Syracuse,New York,"1,44,170",,
Naperville,Illinois,"1,43,684",,
McKinney,Texas,"1,43,223",,
Mesquite,Texas,"1,43,195",,
Clarksville,Tennessee,"1,42,519",,
Savannah,Georgia,"1,42,022",,
Dayton,Ohio,"1,41,359",,
Orange,California,"1,39,419",,
Fullerton,California,"1,38,574",,
Pasadena,California,"1,38,547",,
Hampton,Virginia,"1,36,836",,
McAllen,Texas,"1,34,719",,
Killeen,Texas,"1,34,654",,
Warren,Michigan,"1,34,141",,
West Valley City,Utah,"1,32,434",,
Columbia,South Carolina,"1,31,686",,
New Haven,Connecticut,"1,30,741",,
Sterling Heights,Michigan,"1,30,410",,
Olathe,Kansas,"1,30,045",,
Miramar,Florida,"1,28,729",,
Thousand Oaks,California,"1,28,412",,
Frisco,Texas,"1,28,176",,
Cedar Rapids,Iowa,"1,28,119",,
Topeka,Kansas,"1,27,939",,
Visalia,California,"1,27,081",,
Waco,Texas,"1,27,018",,
Elizabeth,New Jersey,"1,26,458",,
Bellevue,Washington,"1,26,439",,
Gainesville,Florida,"1,26,047",,
Simi Valley,California,"1,25,793",,
Charleston,South Carolina,"1,25,583",,
Carrollton,Texas,"1,25,409",,
Coral Springs,Florida,"1,25,287",,
Stamford,Connecticut,"1,25,109",,
Hartford,Connecticut,"1,24,893",,
Concord,California,"1,24,711",,
Roseville,California,"1,24,519",,
Thornton,Colorado,"1,24,140",,
Kent,Washington,"1,22,999",,
Lafayette,Louisiana,"1,22,761",,
Surprise,Arizona,"1,21,287",,
Denton,Texas,"1,21,123",,
Victorville,California,"1,20,336",,
Evansville,Indiana,"1,20,235",,
Midland,Texas,"1,19,385",,
Santa Clara,California,"1,19,311",,
Athens,Georgia,"1,18,999",,
Allentown,Pennsylvania,"1,18,974",,
Abilene,Texas,"1,18,887",,
Beaumont,Texas,"1,18,228",,
Vallejo,California,"1,17,796",,
Independence,Missouri,"1,17,270",,
Springfield,Illinois,"1,17,126",,
Ann Arbor,Michigan,"1,16,121",,
Provo,Utah,"1,15,919",,
Peoria,Illinois,"1,15,687",,
Norman,Oklahoma,"1,15,562",,
Berkeley,California,"1,15,403",,
El Monte,California,"1,15,111",,
Murfreesboro,Tennessee,"1,14,038",,
Lansing,Michigan,"1,13,996",,
Columbia,Missouri,"1,13,225",,
Downey,California,"1,12,873",,
Costa Mesa,California,"1,11,918",,
Inglewood,California,"1,11,182",,
Miami Gardens,Florida,"1,10,754",,
Elgin,Illinois,"1,09,927",,
Wilmington,North Carolina,"1,09,922",,
Waterbury,Connecticut,"1,09,915",,
Fargo,North Dakota,"1,09,779",,
Arvada,Colorado,"1,09,745",,
Carlsbad,California,"1,09,318",,
Westminster,Colorado,"1,09,169",,
Rochester,Minnesota,"1,08,992",,
Gresham,Oregon,"1,08,956",,
Clearwater,Florida,"1,08,732",,
Lowell,Massachusetts,"1,08,522",,
West Jordan,Utah,"1,08,383",,
Pueblo,Colorado,"1,07,772",,
San Buenaventura (Ventura),California,"1,07,734",,
Fairfield,California,"1,07,684",,
West Covina,California,"1,07,440",,
Billings,Montana,"1,06,954",,
Murrieta,California,"1,06,810",,
High Point,North Carolina,"1,06,586",,
Round Rock,Texas,"1,06,573",,
Richmond,California,"1,06,516",,
Cambridge,Massachusetts,"1,06,471",,
Norwalk,California,"1,06,278",,
Odessa,Texas,"1,06,102",,
Antioch,California,"1,05,508",,
Temecula,California,"1,05,208",,
Green Bay,Wisconsin,"1,04,868",,
Everett,Washington,"1,04,655",,
Wichita Falls,Texas,"1,04,552",,
Burbank,California,"1,04,391",,
Palm Bay,Florida,"1,04,124",,
Centennial,Colorado,"1,03,743",,
Daly City,California,"1,03,690",,
Richardson,Texas,"1,03,297",,
Pompano Beach,Florida,"1,02,984",,
Broken Arrow,Oklahoma,"1,02,019",,
North Charleston,South Carolina,"1,01,989",,
West Palm Beach,Florida,"1,01,903",,
Boulder,Colorado,"1,01,808",,
Rialto,California,"1,01,740",,
Santa Maria,California,"1,01,459",,
El Cajon,California,"1,01,435",,
Davenport,Iowa,"1,01,363",,
Erie,Pennsylvania,"1,01,047",,
Las Cruces,New Mexico,"1,01,047",,
South Bend,Indiana,"1,00,800",,
Flint,Michigan,"1,00,515",,
Kenosha,Wisconsin,"1,00,150",,
